price,sqft,bedroom,bathroom,balcony,age,ownership,flooring,furnishing,facing,parking,gated_security,locality,Children,Club,Fire,Gas,Gym,Intercom,Internet,Lift,Park,Security,Sewage,Shopping,Swimming,Visitor
8500000.0,1050,2,2,1,4,1,1,2,2,2,1,Beninganahalli,1,1,1,0,1,1,1,1,0,1,1,1,0,1
6000000.0,1180,3,2,2,4,1,3,2,2,2,1,Beninganahalli,0,0,0,0,0,0,0,1,0,1,0,0,0,0
8500000.0,1200,2,1,1,1,1,0,3,1,2,1,Beninganahalli,1,0,0,0,1,1,1,1,1,1,0,1,0,1
7000000.0,1185,2,2,0,4,1,0,2,7,2,1,Beninganahalli,1,0,0,0,0,0,0,1,1,0,0,0,0,1
6500000.0,1149,2,2,3,4,1,0,2,3,2,1,Beninganahalli,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6500000.0,1140,2,2,0,4,1,0,2,3,2,1,Beninganahalli,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9700000.0,1600,3,3,4,4,1,1,2,1,2,1,Beninganahalli,1,1,0,0,1,1,1,1,1,1,1,1,1,1
7000000.0,1300,3,3,2,2,1,1,3,4,1,1,Beninganahalli,0,0,0,0,1,0,0,1,0,1,0,0,0,0
15500000.0,1542,3,2,3,4,1,3,2,7,2,1,Beninganahalli,1,0,0,0,1,1,0,1,1,1,1,0,0,0
12000000.0,1500,3,3,2,4,1,1,2,4,1,1,Beninganahalli,0,0,0,0,0,0,0,1,0,1,0,0,0,0
5800000.0,598,1,2,1,1,1,2,2,5,2,1,Beninganahalli,1,1,1,1,1,1,0,1,1,1,1,0,1,1
9500000.0,1690,3,3,0,3,1,0,1,8,2,1,Beninganahalli,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7500000.0,1080,2,2,1,5,1,1,1,1,1,1,Beninganahalli,0,0,1,1,0,0,1,1,0,1,0,0,0,1
7400000.0,1190,2,2,2,4,1,3,3,2,2,1,Beninganahalli,0,0,0,0,0,0,1,1,0,1,0,0,0,0
